El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
Los marinos capturaron a Ismael Zambada Imperial, 'El Mayito Gordo', hijo del capo sinaloense, y a otras cinco personas, de acuerdo con reportes preliminares.	‎Hace 8 horas‎ Ismael Zambada Imperial, "El Mayito Gordo", declara en la Seido luego de que fue ubicado en Culiacán con cinco presuntos cómplices, entre ellos un primo.
Una jornada crucial aguarda esta mañana a los presidentes de los países del Triángulo Norte de Centroamérica que integran Honduras, Guatemala y El Salvador.	"No veo ninguna razón por la que Centroamérica no pueda convertirse en la próxima gran historia de éxito en el hemisferio, y hay muchas en el hemisferio", afirmó Biden durante una conferencia junto a los presidentes de Honduras, Guatemala y El Salvador en Washington.
En los últimos días, Alvarenga estuvo recluido en un hotel de Majuro, rodeado de medidas de seguridad y sin apenas contacto con el mundo exterior.	De los 7,93 millones de euros que la Casa del Rey recibió de los Presupuestos Generales del Estado para 2013, la institución consiguió ahorrar 23.943 euros gracias al "considerable esfuerzo mantenido cuidadosamente durante todo el año en cuanto a la austeridad del gasto", sostiene el Interventor de la Casa del Rey, Oscar Moreno Gil, en el informe que eleva anualmente al jefe de la Casa, Rafael Spottorno, y que por vez primera se ha distribuido a los medios de comunicación.
El capitán del ferry surcoreano que se hundió en abril en un accidente en el que murieron 304 pasajeros fue condenado el martes a 36 años de prisión después de que un tribunal lo hallara culpable de negligencia, pero fue absuelto del cargo de homicidio, por el cual los fiscales pedían la pena de muerte.	El pasado septiembre, Sendai se convirtió en la primera planta de Japón en cumplir la nueva normativa impuesta por la NRA tras el accidente de hace más de tres años en la central de Fukushima, golpeada por un terremoto y un tsunami.
La Real Academia Española junto con otras veintiuna Academias correspondientes en sendos países donde se habla español, conforman la Asociación de Academias de la Lengua Española.	Estas veintiuna academias constituyen con la Real Academia Española la Asociación de Academias de la Lengua Española (ASALE), fundada en 1951 en el marco del I Congreso de Academias celebrado en México.
El joven, identificado como Fábio Raposo Barbosa, de 22 años, fue señalado ayer por la Policía Civil como coautor de los delitos de explosión y tentativa de homicidio cualificado contra el camarógrafo Santiago Andrade, quien cubría las protestas en el centro de Río de Janeiro cuando fue alcanzado por el artefacto.	El camarógrafo Santiago Andrade estaba cubriendo las protestas en el centro de Río de Janeiro para el canal de televisión Band cuando fue alcanzado por un artefacto explosivo.
Se encuentra formado por veinte anillos de carbono hexagonales y doce anillos pentagonales, con un átomo de carbono en los vértices de cada polígono, y un enlace en cada una de las aristas.	Se sabe que Petrus Petri también trabajó en las obras de la Catedral Vieja de Salamanca, tal y como menciona el Archivo de la Catedral de dicha ciudad, donde también participarón los siguientes maestros: Florín de Pituenga, Casandro Romano, Alvar García, Pedro de la Obra, Juan el Pedrero, Sancho Pedro o Juan Franco.
La "peseta" fue la unidad monetaria en España desde su aprobación el 19 de octubre de 1868 hasta el 1 de enero de 1999, cuando se introdujo el euro.	El 31 de diciembre de 1998, la peseta dejó de cotizar y fue sustituida por el euro.
La "Tierra" (de "Terra", nombre latino de "Gea", deidad griega de la feminidad y la fecundidad) es un planeta del Sistema Solar que gira alrededor de su estrella en la tercera órbita más interna.	La desgasificación de la corteza y la actividad volcánica produjeron la atmósfera primordial de la Tierra.
Hombre de acción, estadista y diplomático, fue uno de los caudillos de la rebelión de los judíos contra los romanos.	En el año 64 se trasladaría a Roma para conseguir de Nerón la liberación de algunos sacerdotes judíos amigos suyos capturados durante las revueltas judías contra los romanos, causa por la que es procesado y encarcelado.
En respuesta a esas inquietudes, el jefe de la OIEA, Ali Akbar Salehi, afirmó esta semana que Irán está dispuesto a "hacer algunas modificaciones en los planes para producir menos plutonio", aunque repitió que Arak es un reactor de investigación.	El jefe de la OIEA, Ali Akbar Salehi, afirmó esta semana que Irán estaría dispuesto a realizar "algunas modificaciones en los planos para producir menos plutonio", si bien insistió que se trata de un reactor de investigación.
La coalición liderada por Estados Unidos está registrando un “avance constante y sostenible” en su combate contra los militantes de EI en Irak y Siria, pero advirtió que “será una lucha larga y difícil”. “Habrá reveses.	El canal 2 de la televisión israelí informó que las 400 viviendas en Har Homa y las 600 en Har Shlomo son parte de un acuerdo alcanzado por el ministro de Economía, Naftali Bennett, del partido procolono Casa Judía a cambio de la promesa de estabilidad en la coalición de gobierno.
Un hombre vestido como un estudiante detonó la bomba cuando los escolares se encontraban reunidos en una asamblea antes de empezar las clases en un colegio de Potiskum, capital de la provincia de Yobe, donde actúa el grupo terrorista Boko Haram.	La tragedia podía haber sido mayor, ya que en el momento de la explosión, alrededor de las 8:00 de la mañana, hora local, estaban reunidos unos 2.000 estudiantes en una asamblea antes de empezar las clases en un colegio de Potiskum, cercano a Damaturu, capital de Yobe.
Tres hombres sacan algo de un tambor.	Dos niños juegan en una llanta columpio grande.
El ministro de Economía, Luis Miguel Castilla, instó a todos los sectores del país a no politizar el aumento de sueldos para los altos funcionarios del Estado, al ratificar que la medida tiene como objetivo contar con una administración pública más eficiente.	"Quiero hacer una invocación a no politizar un tema tan importante; estamos trabajando con mucha seriedad y responsabilidad por tener un Estado que funcione, que ofrezca resultados."
Una encuesta divulgada en la jornada por el diario El Tiempo y la emisora La W reveló que entre ocho distintos candidatos, Santos lleva la ventaja con 24,4% de la intención de voto, seguido de lejos en segundo lugar por la aspirante del partido Conservador, la exministra de defensa Marta Lucía Ramírez con 7,7% y en tercer lugar el exministro de Hacienda Oscar Iván Zuluaga, con 7,6%.	Juan Manuel Santos sigue liderando la intención de voto de los colombianos, pero esta vez la segunda opción de gobierno sería para la candidata Marta Lucía Ramírez que contaría con un 7,7% de la intención de voto.
Amos ha ensalzado la "valentía" y la "tenacidad" de los trabajadores humanitarios de Naciones Unidas y la Media Luna Roja que entraron este sábado en la Ciudad Vieja de Homs para entregar la ayuda a la población.	La ayuda ha estado llegando este domingo a los barrios más castigados de la ciudad, luego que el sábado se registraran varios ataques contra los convoyes humanitarios de las Naciones Unidas y la Media Luna Roja, de los que el régimen sirio y la oposición se acusaron mutuamente.
Andrade, de 49 años, cubría una protesta contra el aumento del pasaje de autobús, que comenzó pacífica pero degeneró en violentos enfrentamientos dentro y en los alrededores de la estación Central, la mayor estación de metro y trenes de Rio.	Santiago Andrade, camarógrafo de la red Bandeirantes de 49 años y padre de una niña de 11, cubría el jueves pasado una violenta protesta contra el aumento del pasaje de autobús frente a la Central do Brasil, la mayor estación de metro y trenes de Rio, cuando fue impactado en la cabeza por una bengala.
La "partitocracia" o "partidocracia" se trata de un neologismo empleado para definir la burocracia de los partidos políticos.	Partiendo de la base de que los partidos son un mal necesario, los ciudadanos se van apartando de ellos y buscan otros cauces para intervenir, lo que lleva a la creación de los llamados "grupos de presión".
La ciudad está situada en el valle de Guayangareo, formado por un repliegue del Eje Neovolcánico Transversal, en la región norte del estado, en el centro-occidente del país.	La ciudad se encuentra situada en un amplio valle antiguamente llamado Valle de Guayangareo, en el centro-norte del municipio, el cual se encuentra rodeado de lomas y colinas entre las que destacan al este el cerro del Punhuato, al oeste el pico del Quinceo, al sur las lomas de Santa María y el pico de El Águila.
Los dos últimos estadounidenses prisioneros en Corea del Norte, liberados gracias a una misión secreta sin precedentes en Pyongyang del jefe de inteligencia estadounidense, llegaron la noche del sábado a Estados Unidos. 	"El Departamento de Estado se congratula por la liberación de los ciudadanos estadounidenses Kenneth Bae y Matthew Todd Miller en la República Democrática Pópular de Corea del Norte, donde han estado detenidos durante dos años y siete meses, respectivamente", dijo en un comunicado el Departamento de Estado, indicó el sábado la AFP.
Hipólito Mora, líder de este grupo de autodefensa originario del municipio de Buenavista Tomatlán, colindante con Apatzingán, encabezó a cerca de 100 hombres, quienes dejaron las armas a las afueras de la comunidad para ingresar vestidos de blanco en la catedral.	Hipólito Mora, líder de este grupo originario de la comunidad de La Ruana, en el municipio de Buenavista Tomatlán, colindante con Apatzingán, encabezó a cerca de cien hombres quienes dejaron las armas en su comunidad para entrar vestidos de blanco en la iglesia de esa población de la región de Tierra Caliente..
La "robótica" es la rama de la tecnología que se dedica al diseño, construcción, operación, disposición estructural, manufactura y aplicación de los robots.	El término robótica es acuñado por Isaac Asimov, definiendo a la ciencia que estudia a los robots.
La explosión ha tenido lugar en una escuela de la localidad de Potiskum, en la región de Yobe .	La matanza se produce una semana después de que un ataque suicida similar segara la vida de veinte personas en la escuela islámica Faydia de Potiskum, que pertenece a un grupo de la rama chiíta del islam.
Obama dijo que espera que el Senado confirme sin retraso a la fiscal federal de Brooklyn quien, dijo, se ha distinguido por ser "dura y justa".	Obama ha expresado sus esperanzas de que el Senado ratifique rápidamente el nombramiento de una mujer "dura y justa".
La "romanización del griego" es la representación de textos escritos en alfabeto griego utilizando el alfabeto latino.	La transliteración consiste en trasladar el alfabeto griego al alfabeto latino grafema a grafema, de modo que se pueda recuperar la grafía original a partir del texto transliterado.
"En casi todos los países encuestados, al menos un tercio de los actuales protestantes fueron criados como católicos y la mitad o más dicen que fueron bautizados", dice el informe.	En Colombia, por ejemplo, nada menos que el 74% de los declarados protestantes afirman haber sido criados como católicos .
Las raras veces en que Alvarenga apareció en público desde el viernes lo hizo rodeado de un grupo de voluntarios, que permanecen en su cuarto y le ayudan a cumplir su deseo de no hablar con la prensa sobre su odisea en el mar.	En los últimos días Alvarenga estuvo recluido en un hotel de Majuro, rodeado de medidas de seguridad y sin apenas contacto con el mundo exterior.
Los forenses se encargan de la recuperación, el análisis y la eventual identificación de los cuerpos.	La búsqueda de los restos humanos se realiza a través de testimonios de la gente y de los conocimientos de la arqueología forense.
El comunicado de la Unidad Médica Presidencial lleva la firma de los doctores Marcelo Ballesteros y Daniel Fernández.	El parte médico, firmado por los doctores Marcelo Ballesteros y Daniel Fernández, señala que la mandataria "cumple un tratamiento sintomático y antibiótico" en el sanatorio privado Otamendi de la capital argentina.
"Neptuno" es el octavo planeta en distancia respecto al Sol y el más lejano del Sistema Solar.	Es el satélite más grande de Neptuno, y el más frío del sistema solar que haya sido observado por una Sonda (-235º).
Tras conocer esta situación, el papa argentino autorizó la construcción de las tres duchas en el interior de los baños que normalmente usan los peregrinos, y que comenzarán a instalarse el próximo 17 de noviembre.	Serán colocadas en el interior de los baños que hay bajo las columnas de la basílica de San Pedro.
Rusia acusó hoy a la misión especial de monitorización de la Organización para la Seguridad y la Cooperación en Europa en Ucrania de presentar información sesgada y de apoyar a Kiev.	El Ministerio ruso de Exteriores acusó hoy a la misión de la OSCE encargada de observar el alto el fuego en Ucrania de tratar de ayudar a las autoridades de Kiev.
Una niño está dentro.	Una niño está dentro.
Según fuentes cercanas explicaron que la enfermedad habría sido clave para que el protagonista de 'Patch Adams' tomara la decisión de quitarse la vida.	Los médicos del actor creen que la enfermedad fue un aspecto crucial que pudo empujar a Robbin Williams a tomar la decisión de quitarse la vida.
El "genotipo" se refiere a la información genética que posee un organismo en particular, en forma de ADN.	El fenotipo se refiere a la expresión del genotipo más la influencia del medio.
Es una de las más destacadas cantantes israelíes, con una carrera que se ha dilatado a lo largo de más de cuarenta años.	Es una de las más famosas cantantes israelíes en yiddish, aunque ha cantado también en hebreo, inglés y árabe.
"Quemú Quemú" es una localidad ubicada al noreste de la provincia de La Pampa en Argentina.	Localidad ubicada al oeste de la llamada Pampa Húmeda Argentina, posee un clima con dos regímenes de lluvias:
Los bomberos de Nueva York lograron rescatar a dos trabajadores que limpiaban cristales en la nueva torre del World Trade Center y que se habían quedado colgados hoy en el piso 69, al desprenderse parte del cableado de su andamio.	Los bomberos de la ciudad acudieron a salvar a dos limpiavidrios atrapados en el piso 68; uno de los cables que sostenían la estructura colgante se habría desprendido. 
El fallo va contra quienes “acuden a Alemania con el único objetivo de aprovecharse de su sistema social”, añadió el democristiano Peter Tauber. 	Sin embargo, según el derecho germano, quienes se desplacen a Alemania con el único objetivo de beneficiarse de estas prestaciones o de buscar trabajo quedan excluidos.
Santiago de Chile, 10 feb .- El presidente chileno, Sebastián Piñera, afirmó hoy que Chile deberá evaluar su permanencia en el Pacto de Bogotá tras perder 22.000 kilómetros cuadrados de mar que la Corte Internacional de Justicia otorgó a Perú y a las puertas de que Bolivia presente un recurso también a esa instancia.	Chile evalúa abandonar el Pacto de Bogotá luego de un fallo de la Corte Internacional de Justicia de La Haya que otorgó a la vecina Perú una extensión de mar en el Océano Pacífico, dijo el Presidente Sebastián Piñera.
Polémica en Dinamarca por el sacrificio de Marius la jirafa bebé del zoo de openhague A pesar de los denuncias de defensores de los animales y las ofertas de otros zoo, en Copenhague decidieron matar a Marius, de dos años.	La institución del país del europeo, justificó el sacrificio argumentando que fue una decisión para "evitar futuros problemas de consanguinidad porque el objetivo del zoo es asegurarse que los mejores genes pasan a las generaciones venideras, preservándose así a largo plazo la supervivencia de las especies que acogen", cita ABC.es., a pesar de los denuncias y campañas online de defensores de los animales y las ofertas de otros zoo para recibir a Marius. tiquetas
En mecánica cuántica, el "efecto túnel" es un fenómeno nanoscópico por el que una partícula viola los principios de la mecánica clásica penetrando una barrera de potencial o impedancia mayor que la energía cinética de la propia partícula.	En aplicación a una partícula que se rige bajo los preceptos de la mecánica clásica, esto es considerado "tunelado cuántico".
El papa Francisco desmintió ayer que haya convocado a una reunión a representantes del gobierno de Cristina Kirchner, de la Unión Industrial Argentina y de la CGT para dialogar sobre la situación económica del país, en un escenario de inflación y paritarias, con la supuesta finalidad de "garantizar la paz social".	El 26 de noviembre pasado, Francisco recibió durante casi dos horas a la Mesa Directiva de la CGT oficialista, liderada por Caló, quien señaló que el Papa les pidió a los dirigentes gremiales “por la unidad de todos los argentinos”.
El envío consiste en 32 tanques, 16 obuses de tipo D-30 y 30 camiones de tipo KamAZ con munición y soldados”, informó en una rueda de prensa Andrey Lysenko, portavoz del Consejo.	"32 tanques, 16 obuses y 30 camiones militares Kamaz con tropas entraron en Ucrania desde Rusia" y se dirigen a la ciudad de Krasni Luch, en la región de Lugansk, declaró el portavoz.
El resto de los porcentajes se lo repartieron otros cinco aspirantes, mientras 0,7% no respondió la encuesta realizada de forma telefónica por la empresa Datexco entre 1.620 personas del 29 al 31 de enero pasado en cinco regiones del país y con un margen de error de 2,4 puntos porcentuales.	La muestra de Ipsos consultó a 1.008 personas del 29 al 29 de enero en 13 ciudades del país y tuvo un margen de error de 3,1 puntos porcentuales.
Los Estados miembros autorizan a la jefa de la diplomacia de la UE, Catherine Ashton, y a la Comisión Europea a iniciar la negociación.	"Estas negociaciones ayudarán a consolidar nuestro compromiso con Cuba", dijo la alta representante de la UE para Asuntos Exteriores y Política de Seguridad, Catherine Ashton, poco después de tomarse la decisión de iniciar el diálogo bilateral.
En las asignaciones de este año, el rey recibirá un total de 292 mil 752 euros , de los que 140 mil 519 euros son de sueldo, y 152 mil 233 euros para gastos de representación.	La princesa Letizia tendrá una asignación de 102 mil 464 euros , de los que 49 mil 182 euros son de sueldo y 53 mil 282 euros en gastos de representación.
El Papa Francisco ha tenido un nuevo gesto para con quienes menos tienen: ordenó construir duchas en los baños ubicados a un lado de la Plaza de San Pedro, para que sean utilizadas por los vagabundos que circundan el Vaticano, publica la agencia Notimex.	El papa Francisco ha mandado instalar tres duchas en el interior de los baños que hay bajo las columnas de la basílica de San Pedro para que puedan lavarse y cambiarse los sin techo que duermen en los alrededores del Vaticano.
El deslizamiento se produjo la noche del sábado en el municipio de Morochata y sepultó unas 15 casas, dijo en rueda de prensa la secretaria de Derechos de la Madre Tierra de la Gobernación de Cochabamba, Cinthia Vargas.	El deslizamiento de un cerro sobre varias casas en la comunidad Chullpa K´asa del municipio de Morochata en Cochabamba, a causa de las lluvias, dejó el saldo de cuatro personas fallecidas y diez desaparecidos, informó la secretaría de los Derechos de la Madre Tierra de la Gobernación de Cochabamba, Cintia Vargas.
"No debemos ocultar esas y otras deficiencias, sino combatirlas frontalmente con toda la fuerza de nuestro patriotismo y determinación", manifestó el Presidente, si bien no hizo mención directa a las víctimas de la dictadura.	"No debemos ocultar esas y otras deficiencias sino combatirlas frontalmente con toda la fuerza de nuestro patriotismo y determinación", manifestó el presidente en un acto en el Congreso que conmemoró el 25 aniversario de la caída del régimen dictatorial más largo de Latino américa.
La forma es la suma de un arco multicolor con el rojo hacia la parte exterior y el violeta hacia la interior.	Menos frecuente es el arco iris doble, el cual incluye un segundo arco más tenue con los colores invertidos, es decir, el rojo hacia el interior y el violeta hacia el exterior.
Washington.- Las relaciones entre Estados Unidos y Francia viven ahora un momento inimaginable a diez años de haber dejado atrás una de sus peores crisis en los 200 años de relación, reconocieron hoy los presidentes Barack Obama y Francois Hollande. “Una década atrás pocos hubieran imaginado a nuestros dos países trabajando tan de cerca de muchas maneras”, apuntaron ambos líderes en un artículo de opinión conjunto publicado este lunes en los diarios The Washington Post y Le Monde.	Preámbulo de este encuentro, Hollande y su homólogo estadounidense, Barack Obama, lanzaron un llamado para lograr un acuerdo ambicioso sobre cambio climático en un artículo conjunto publicado este lunes por los diarios Le Monde y The Washington Post, reseñó AFP.
"Bodhisattva" es un término propio del budismo que alude a alguien embarcado en el camino del Buda de manera significativa.	En el budismo primigenio, se usa para referirse a alguien que está en el camino de la budeidad.
Asientos amarillos coloridos con una muchedumbre escasa alineada detrás de cuatro jugadores de fútbol que intentan perseguir una pelota.	Dos personas con anteojos están jugando un juego sentadas en el suelo.
El Equipo Argentino de Antropología Forense que colaboran en la investigación sobre la desaparición forzada de los 43 normalistas de Ayotzinapa concluyó que los 24 cuerpos hallados en las fosas clandestinas de Pueblo Viejo, Iguala, no son de los estudiantes, que de acuerdo con las indagaciones de la PGR, continúan como desaparecidos.	El Equipo Argentino de Antropología Forense , que realiza un peritaje independiente en las pesquisas sobre la desaparición de 43 estudiantes en México, informó hoy que analizaron 24 de 30 restos humanos y que no corresponden con los jóvenes.
Un perro juega en un campo.	Un perro jugando en un campo.
"Maria Anna Schwegelin" (? - 1781 en la cárcel de Kempten) fue una sirviente alemana de Lachen, la última «bruja» condenada a la hoguera en Alemania.	Te entregamos, Anna Schwegelin, al verdugo para ser llevada de la vida a la muerte en la hoguera por bruja"».
El ex líder soviético Mijail Gorbachov, uno de los grandes responsables de la apertura del Telón de Acero, quiere interceder a favor del presidente ruso, Vladimir Putin, en su encuentro con la canciller alemana, Angela Merkel, con motivo del 25 aniversario de la caída del Muro de Berlín.	El ex presidente de la Unión Soviética Mijaíl Gorbachov, ha afirmado este jueves que defenderá a Rusia y a su presidente, Vladímir Putin, durante su visita a Alemania con motivo de los actos conmemorativos del 25 aniversario de la caída del Muro de Berlín, que se cumple el próximo domingo, "En las conversaciones con personalidades y dirigentes políticos tendré una postura firme de defensa de Rusia y, por tanto, de su presidente, Vladímir Putin", ha dicho Gorbachov en declaraciones a la agencia Interfax.
La "presión" (símbolo "p") es una magnitud física que mide como la proyección de la fuerza en dirección perpendicular por unidad de superficie, y sirve para caracterizar cómo se aplica una determinada fuerza resultante sobre una línea.	La presión es la magnitud escalar que relaciona la fuerza con la superficie sobre la cual actúa, es decir,equivale a la fuerza que actúa sobre la superficie.
Ayer, el EAAF, a través del centro de derechos humanos Tlachinollan, difundió su primer informe sobre este caso, tras el levantamiento de evidencias en dos lugares: Cerro Viejo y La Parota.	A través de un comunicado, el equipo dio notificación de su intervención oficial en la pesquisa.
Armados con bates de madera, machetes, arcos, flechas y armas de fuego artesanales para caza, un grupo de estos Vigilantes logró liberar este miércoles la ciudad de Maiha , que estaba bajo control de los salafistas.	Hace dos días otro grupo de cazadores locales también lograron recuperar la ciudad de Maiha, a unos 25 kilómetros de Mubi, que también estaba bajo control de los terroristas.
El presidente Santos anunció que países como Finlandia, Singapur, Israel y Marruecos han manifestado su intención de participar como observadores de la Alianza del Pacífico.	Santos recordó que en la actualidad hay 25 países observadores , y gobiernos como los de Israel, Singapur y Marruecos, han manifestado ingresar al grupo de observadores de la Alianza del Pacífico.
El viceministro de Política Interior y Seguridad Jurídica, José Vicente Rangel Ávalos, señaló que antes de que el pueblo eligiera al presidente Hugo Chávez, “La tortura estaba institucionalizada y el asesinato político era frecuente” en Venezuela.	En la sede del Alto Comisionado de la ONU para Derechos Humanos en Ginebra, la delegación de Venezuela, liderada por el viceministro de Política Interior y Seguridad Ciudadana, José Vicente Rangel Ávalos, fue cuestionada sobre el cumplimiento de su país de la Convención contra la Tortura y otros Tratos Crueles, Inhumanos y Degradantes.
"Miguel Henríquez Guzmán" (Piedras Negras, Coahuila; 4 de agosto de 1898 - Ciudad de México; 29 de agosto de 1972) fue un político y militar mexicano.	A pesar de la intensidad de las protestas no se logró que se revirtieran los resultados, por lo que Henríquez Guzmán optó por retirarse de la vida pública hasta el día de su muerte el 29 de agosto de 1972.
En conferencia de prensa en Johannesburgo, en un acto organizado por la Corte Constitucional de Sudáfrica , se dieron a conocer las actas de voluntad y el testamento del máximo líder antiapartheid, quien legó su patrimonio a su familia, colaboradores más cercanos, escuelas donde estudio y al Congreso Nacional Africano .	Tras una lectura pública del testamento, Mandela lega parte de su patrimonio además de a su familia, a sus organizaciones benéficas, a sus colaboradores más cercanos y a su partido, el Congreso Nacional Africano .
Los firmantes han indicado que "todas estas graves denuncias se producen a menos de un año de que entrara en vigor la Ley Especial para Prevenir y Sancionar la Tortura y otros Tratos o Penas Crueles, Inhumanos o Degradantes en Venezuela".	Así, han exhortado a Venezuela "a extender una invitación al relator de la ONU contra la Tortura y a ratificar el Protocolo Facultativo de la Convención contra la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes".
"Sir Galahad" (a veces como "Galaz"; en galés: "Gwalchavad") es un caballero de la Mesa Redonda del Rey Arturo y uno de los tres que alcanzaron el Grial en las leyendas artúricas.	Merlín profetiza que Galahad sobrepasaría a su padre en valor y lograría alcanzar el santo Grial.
El niño rubio se sentó junto a la guitarra y el libro.	La chica estaba jugando con Lincoln Logs.
"Super Trouper" es el nombre del séptimo álbum de estudio del grupo sueco ABBA, publicado en 1980 por Polar Music.	"Super Trouper" fue publicado por primer vez en Escandinavia el 3 de noviembre de 1980, bajo el sello de Polar Music.
Boko Haram, cuyo nombre significa en lenguas locales "La educación no islámica es pecado", mantiene una sanguinaria campaña en el país que ha costado la vida a más de 3 mil personas en lo que va de año, según datos del Gobierno nigeriano.	Boko Haram, cuyo nombre significa “la educación occidental está prohibida”, sostiene una campaña de violencia para evitar que los niños y adolescentes asistan al colegio.
Los "Reyes Magos de Oriente" (o simplemente "Reyes Magos") es el nombre por el que la tradición denomina a los visitantes que, tras el nacimiento de Jesús de Nazaret, acudieron desde países extranjeros para rendirle homenaje y entregarle regalos de gran riqueza simbólica: oro, incienso y mirra.	C, «los Magos son de Oriente pero que en esa inquietud por buscar a Dios están representados los hombres buscadores de Dios de todos los lugares y de todos los tiempos».
Existen dos tipos de horarios diferentes: el horario de verano y el horario de invierno (u horario estándar).	Gracias a ello, la tecnología "flash", siempre mediante impulsos eléctricos, permite velocidades de funcionamiento muy superiores frente a la tecnología EEPROM primigenia, que sólo permitía actuar sobre una única celda de memoria en cada operación de programación.
La "heráldica" es la ciencia del blasón («blasón», según la RAE se define como el «arte de explicar y describir los escudos de armas de cada linaje, ciudad o persona»).	La heráldica es lo relativo al lenguaje del blasón, a la ciencia de los heraldos y al diseño de las armerías.
"La raíz del problema ha sido la falta de concentración, atención y recursos, lo que crea la sensación generalizada de que la carrera nuclear ofrece escasas oportunidades de desarrollo y avance".	También subrayó la necesidad de “incrementar” el “personal nuclear” y hacer frente “a la sensación generalizada de que una carrera en el programa nuclear ofrece pocas oportunidades para crecer y progresar”, al comentar la “baja moral” existente entre los integrantes del programa.
"Osmín Aguirre y Salinas" (San Miguel, El Salvador, 24 de diciembre de 1889 - San Salvador, El Salvador, 12 de julio de 1977) fue un militar salvadoreño que fue miembro del Directorio cívico del 2 al 4 de diciembre de 1931 y Presidente Provisional de la República de El Salvador desde el 21 de octubre de 1944 hasta el 1 de marzo de 1945	El Coronel Osmín Aguirre y Salinas nació en San Miguel, el 24 de diciembre de 1889 y murió en la capital salvadoreña cuando era conducido al Hospital Militar, al ser atacado a balazos el 12 de julio de 1977 frente a su residencia, ubicada en la 15 Calle Oriente, No 117, de esa misma ciudad capital.
Aprovechando que esta Alianza Transpacífica se ha quedado estancada por las diferencias comerciales entre EE.UU. y Japón, China está impulsando su propia Área de Libre Comercio.	EE.UU. y China se van a disputar el rol rector en el Área de Libre Comercio.
La Unión Europea está compuesta por veintiocho estados europeos y fue establecida con la entrada en vigor del Tratado de la Unión Europea (TUE), el 1 de noviembre de 1993.	Sin embargo, con la entrada en vigor, el 1 de diciembre de 2009, del Tratado de Lisboa, la Unión Europea sucedió, por completo aunque con ciertas particularidades, a las Comunidades Europeas y asumió con ello su personalidad jurídica única como sujeto de Derecho internacional.
"Miquel Illescas Córdoba" es un ajedrecista español nacido en Barcelona el 3 de diciembre de 1965.	Miguel Illescas es miembro del equipo olímpico español desde 1986 y ha participado en 9 Olimpíadas de ajedrez, consiguiendo un total de 60.5/99
El "archipiélago de los Chonos", es un archipiélago situado en el océano Pacífico en la Región de Aysén, Chile al sur del archipiélago de las Guaitecas.	El archipiélago de los Chonos se extiende desde la parte sur de las islas Guaitecas hasta la costa norte de la península de Taitao, de la cual está separado por el canal Pulluche, la boca Wickham y la bahía Anna Pink.
A todo esto, diversas organizaciones fueron convocadas para conmemorar los 25 años de la caída de la dictadura stronista en el centro de Asunción.	A 25 años de la caída de aquella dictadura, ciertos sectores de la sociedad entienden que muchas cuestiones no han sufrido cambios sustanciales en positivo.
Es un ritual que forma parte de las prácticas de numerosas religiones y creencias.	La circunvalación es parte primordial de los rituales de inicio de las sesiones de las logias masónicas.
Un desfile en el cual hay una mujer vestida de blanco sobre zancos.	Hay una muchacha en un vestido rojo de pie en el muelle.
Según la acusación del Ministerio Público, que acogió la corte, el religioso aprovechándose de su condición de guía espiritual del establecimiento educativo sustraía constantemente de la sala de clases a una de las niñas para cometer los abusos entre los años 2007 y 2012.	Diez años después el sacerdote fue acusado por los padres de dos alumnas de aprovecharse de su condición de guía espiritual del establecimiento para sustraerlas constantemente de la sala de clases y abusar sexualmente de ellas.
Una mujer está usando una red para pescar en el río.	Un pez está saltando fuera del agua para atrapar una mosca.
La chaqueta está hecha de cuero	La chaqueta está hecha de cuero
El andamio es inestable, los empleados están suspendidos en el piso 69 y se observa que cuelgan en un ángulo inestable, de acuerdo a las imágenes que surgieron de la escena.	Los trabajadores están colgando en un ángulo de 65 grados, de acuerdo con la policía de Nueva York.
El creador del popular juego Flappy Bird Creator ha retirado la aplicación de las tiendas de App Store y Google Play, cumpliendo así con lo prometido este sábado de retirarlo en 24 horas.	El creador de Flappy Bird, Dong Nguyen, decidió este sábado eliminar el juego de las tiendas de aplicaciones App Store y Google Play.
En el caso de Jiang Zemin, los querellantes recalcan que ejerció autoridad de supervisión sobre las personas que cometieron de forma directa los abusos propiamente dichos, lo que le hace responsable de actos de tortura y otros importantes abusos de derechos humanos perpetrados por sus subordinados contra la población tibetana.	"Jiang Zemin ejerció autoridad de supervisión sobre las personas que cometieron de forma directa los abusos propiamente dichos, lo que lo hace responsable de actos de tortura y otros importantes abusos de derechos humanos perpetrados por sus subordinados contra la población tibetana", señala la querella que ahora el juez reproduce en el auto para decretar la prisión del expresidente.
La operación de detención tenía como objetivo a Ismael Zambada padre, y fue realizada en el poblado conocido como El Salado, en el municipio de Culiacán, Sinaloa.	El hijo del capo, Ismael Zambada Imperial, "El Mayito Gordo", fue presuntamente aprehendido este miércoles en el poblado La Estancia de los Burgos, perteneciente a la sindicatura de El Salado, municipio de Culiacán.
Durante este período la mayor parte de la sociedad dependía de la agricultura y existían las villas.	El municipio de "Corralillo" está ubicado en la actual Provincia de Villa Clara (anteriormente Las Villas), Cuba.
